,location,job_title,company,summary
76,Thành phố Hồ Chí Minh,Chuyên Viên Phân Tích Dữ Liệu/ Data Analyst,CX TECHNOLOGY CORPORATION,"['Giải thích dữ liệu, phân tích kết quả bằng các kỹ thuật thống kê và báo cáo.', 'Phát triển và triển khai cơ sở dữ liệu, hệ thống thu thập dữ liệu, phân tích dữ…']"
77,Thành phố Hồ Chí Minh,Financial Analyst,THE ANNAM GROUP,"['Perform market research, data mining, business intelligence, and valuation comps.', 'Analyze financial data and create financial models for decision support.']"
78,Thành phố Hồ Chí Minh,Inventory Control Analyst,Jabil Circuit,"['Ability to define problems, collect data, establish facts, and draw valid conclusions.', 'At Jabil, we empower the brands who empower the world – it’s our reason…']"
79,Thành phố Hồ Chí Minh,"Junior Data Analyst (Database, SQL)",GEOTECH,"['Design and perform manual data analysis on live production data for detection of data anomalies and anti-fraud purposes.', 'Enjoy working with numerical data.']"
80,Thành phố Hồ Chí Minh,Business Analyst Intership,Annam Gourmet Market Intern - Thực tập sinh Ho Chi...,"['Experience working in an analytical role, with a track record of using data to generate insight and recommendations is a plus.', '0359 838 968 (Ms Ngoc).']"
81,Thành phố Hồ Chí Minh,"Senior Analyst, Data Development",Sun Life Việt Nam,"['The Data developer is responsible for:', 'Uses experiences with data architecture and management to develop and scale SQL databases.']"
82,Thành phố Hồ Chí Minh,Business Analyst (Property),Chợ Tốt,"['Knowledge of property industry, data mindset and SQL/ BigQuery are strong advantages.', 'We are looking for a self-motivated and talented Business Analyst for our…']"
83,Thành phố Hồ Chí Minh,Operation Data Analyst - Chuyên viên Phân Tích Dữ Liệu (Fico),NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN TIÊN PHONG,"['Website tìm việc làm 123job.vn cập nhật tin Operation Data Analyst - Chuyên viên Phân Tích Dữ Liệu (Fico) cách đây lúc 2020-03-18 16:20:02.', 'Chế độ tập thể dục.']"
84,Thành phố Hồ Chí Minh,Technical Business Analyst,PycoGroup,"['Support and review the testing scenarios, test data, and defects verification throughout the delivery lifecycle.']"
85,Thành phố Hồ Chí Minh,Data Analyst,CÔNG TY CỔ PHẦN THỰC PHẨM DINH DƯỠNG NUTIFOOD,"['Website tìm việc làm 123job.vn cập nhật tin Data Analyst cách đây lúc 2020-05-05 12:00:02.', '# Bạn đang xem tin việc làm Data Analyst trong ngành Kế toán / Kiểm…']"
86,Thành phố Hồ Chí Minh,Data Analyst,DIGI-TEXX VIETNAM LTD,"['Participate in analyzing data, conversing data or building data warehouse.', 'Knowledge regarding data models, database design development, data mining and…']"
87,Thành phố Hồ Chí Minh,Pricing Analyst/ Data Analyst,CÔNG TY TNHH AN VIỆT THỊNH,"['Website tìm việc làm 123job cập nhật tin Pricing Analyst/ Data Analyst cách đây lúc 2019-11-21 01:30:02.', 'To be successful in this role, the Pricing Analyst…']"
88,Thành phố Hồ Chí Minh,Buyer II,Jabil Circuit,"['Work with Materials Quotation Analyst if applicable.', 'Ability to define problems, collect data, establish facts, and draw valid conclusions.']"
89,Thành phố Hồ Chí Minh,Senior Data Mining,CREATORY,"['+ Data Collecting, Data Cleansing, Data Template Design, Data Extraction, Data Definition.', 'Data Indexing, Search Engine(Server)for data utilization supports.']"
90,Thành phố Hồ Chí Minh,Chuyên Viên Dữ Liệu (Data Analyst),CÔNG TY CỔ PHẦN THÀNH THÀNH CÔNG BIÊN HÒA,"['# Bạn đang xem tin việc làm Chuyên Viên Dữ Liệu (Data Analyst) trong ngành Data Analytics được tuyển dụng tại ➢ 253 Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Hồ…']"
91,Thành phố Hồ Chí Minh,Security Compliance Analyst (or Intern),OPSWAT,"['Obtain data sets and use of queries.', 'Ability to work with data sets and queries.', 'Protection of data and compliance with industry standards, regulations, and…']"
92,Thành phố Hồ Chí Minh,Assistant Brand Manager,CREATORY,"['Possess excellent data analyst and data management skills.', 'No matter what role you fit into, you will be playing a crucial part in impacting millions of lives…']"
93,Thành phố Hồ Chí Minh,"[HCM] Công Ty SSESSMENTS Tuyển Dụng Junior Market Analyst, Translator ...",SSESSMENTS,"['Following Data, customers list provided by company.', 'Bạn đang xem vị trí [hcm] công ty ssessments tuyển dụng junior market analyst, translator-time 2020 - Mã số…']"
94,Việt Nam,Business Analyst in Commercial Financial Solutions,Codix,['Participate in the analysis of Clients Business Process - Model the gathered data into software specifications accordingly to the functionalities of our product…']
95,Thành phố Hồ Chí Minh,Business Intelligence Associate,Shopee,"['The Data team at Shopee consists of the Business Intelligence and Data Science teams.', 'At least 1 year of industry experience in Business Intelligence or Data…']"
96,Thành phố Hồ Chí Minh,Business Analyst,Kyanon Digital,"['Ability to interpret data to drive business decisions.', 'Minimum of 2 years of professional experience in a business analyst or related role.']"
97,Thành phố Hồ Chí Minh,Business Analyst,Athena Studio,"['Our growing technology firm is looking for an experienced Business Analyst who is responsible for gathering and understanding business requirements, collating…']"
98,Thành phố Hồ Chí Minh,SEO analyst,Direct Flights Company Limited,"['Execute tests, collect and analyse data and results, identify trends and insights in order to achieve maximum ROI in paid search campaigns.']"
99,Hà Nội,Chuyên viên phân tích dữ liệu - Data analyst,Mcredit,"['Sử dụng các công cụ phân tích nhằm dự báo chất lượng thu hồi nợ từng thời kỳ, cảnh báo các dấu hiệu bất lợi và đề xuất giải pháp phù hợp.']"
